Movie_Name,title,year,genres,sum_rating,count,avg_rating,weighted_rating
"""BLOW THE NIGHT!"" Let's Spend the Night Together (1983)","""BLOW THE NIGHT!"" Let's Spend the Night Together",1983.0,Documentary|Drama,3.0,1,3.0,3.0695191826196684
"""Great Performances"" Cats (1998)","""Great Performances"" Cats",1998.0,Musical,518.5,179,2.8966480446927374,2.9265820784238303
#1 Cheerleader Camp (2010),#1 Cheerleader Camp,2010.0,Comedy|Drama,19.0,9,2.111111111111111,2.8835158465119
#Captured (2017),#Captured,2017.0,Horror,7.5,2,3.75,3.106198177937112
#Female Pleasure (2018),#Female Pleasure,2018.0,Documentary,11.0,3,3.6666666666666665,3.116043223488685
#FollowMe (2019),#FollowMe,2019.0,Horror|Thriller,12.5,6,2.0833333333333335,2.933528579989474
#Horror (2015),#Horror,2015.0,Drama|Horror|Mystery|Thriller,48.0,23,2.0869565217391304,2.6940288156591237
#Lucky Number (2015),#Lucky Number,2015.0,Comedy,3.0,1,3.0,3.0695191826196684
#SCREAMERS (2016),#SCREAMERS,2016.0,Horror,7.0,3,2.3333333333333335,3.0160432234886847
#SquadGoals (2018),#SquadGoals,2018.0,Drama|Thriller,1.0,1,1.0,3.0168876036723
#Stuck (2014),#Stuck,2014.0,Comedy|Drama|Romance,5.5,3,1.8333333333333333,2.978543223488685
#realityhigh (2017),#realityhigh,2017.0,Comedy,60.0,18,3.3333333333333335,3.1571223443554075
$ (Dollars) (1971),$ (Dollars),1971.0,Comedy|Crime|Drama,96.0,32,3.0,3.038285926660107
"$1,000 on the Black (1966)","$1,000 on the Black",1966.0,Western,10.0,3,3.3333333333333335,3.091043223488685
"$100,000 for Ringo (1965)","$100,000 for Ringo",1965.0,Drama|Western,2.5,1,2.5,3.0563612878828263
$5 a Day (2008),$5 a Day,2008.0,Comedy|Drama,124.5,42,2.9642857142857144,3.014452265057562
$50K and a Call Girl: A Love Story (2014),$50K and a Call Girl: A Love Story,2014.0,Drama,4.5,1,4.5,3.1089928668301945
$9.99 (2008),$9.99,2008.0,Animation,225.0,72,3.125,3.1068048526563983
$ellebrity (Sellebrity) (2012),$ellebrity (Sellebrity),2012.0,Documentary,24.5,9,2.7222222222222223,3.0030810639032044
