Movie_Name,rank,vizinho,sim
"""Great Performances"" Cats (1998)",1,Carousel (1956),0.10685357451438904
"""Great Performances"" Cats (1998)",2,$5 a Day (2008),0.08953133225440979
"""Great Performances"" Cats (1998)",3,Les Misérables in Concert - The 25th Anniversary (2010),0.08454224467277527
"""Great Performances"" Cats (1998)",4,Cinderella (1997),0.07951654493808746
"""Great Performances"" Cats (1998)",5,Rent (2005),0.07564685493707657
"""Great Performances"" Cats (1998)",6,Peter Pan (1960),0.07543620467185974
"""Great Performances"" Cats (1998)",7,Hairspray Live! (2016),0.07489386945962906
"""Great Performances"" Cats (1998)",8,"Music Man, The (1962)",0.0738486796617508
"""Great Performances"" Cats (1998)",9,Annie Get Your Gun (1950),0.07071841508150101
"""Great Performances"" Cats (1998)",10,"Phantom of the Opera, The (2004)",0.07039914280176163
$5 a Day (2008),1,"Valachi Papers,The (1972)",0.15990260243415833
$5 a Day (2008),2,Operation Crossbow (1965),0.14133106172084808
$5 a Day (2008),3,Catch .44 (2011),0.1339796781539917
$5 a Day (2008),4,Company Business (1991),0.1333763301372528
$5 a Day (2008),5,(Untitled) (2009),0.12661242485046387
$5 a Day (2008),6,$9.99 (2008),0.12167106568813324
$5 a Day (2008),7,Redacted (2007),0.1210249587893486
$5 a Day (2008),8,8 Million Ways to Die (1986),0.12001054733991623
$5 a Day (2008),9,"Last Hangman, The (Pierrepoint) (2005)",0.11931507289409637
$5 a Day (2008),10,Triumph of the Spirit (1989),0.11834173649549484
$9.99 (2008),1,The Little Matchgirl (2006),0.13884791731834412
$9.99 (2008),2,Napoléon (1927),0.1375703364610672
$9.99 (2008),3,$5 a Day (2008),0.12167106568813324
$9.99 (2008),4,Mr Hublot (2013),0.11540643870830536
$9.99 (2008),5,The 3 Penny Opera (1931),0.11090538650751114
$9.99 (2008),6,The Skeleton Dance (1929),0.11016883701086044
$9.99 (2008),7,"Lost Thing, The (2010)",0.10304819047451019
$9.99 (2008),8,Madame Tutli-Putli (2007),0.1015888974070549
$9.99 (2008),9,"Cat Concerto, The (1947)",0.1010984480381012
$9.99 (2008),10,35 Shots of Rum (35 rhums) (2008),0.09863720089197159
'71 (2014),1,Starred Up (2013),0.2674503028392792
'71 (2014),2,The Drop (2014),0.24080775678157806
'71 (2014),3,A Most Violent Year (2014),0.23759078979492188
'71 (2014),4,Calvary (2014),0.21886742115020752
'71 (2014),5,A Most Wanted Man (2014),0.21809405088424683
'71 (2014),6,Slow West (2015),0.20925401151180267
'71 (2014),7,Blue Ruin (2013),0.20039622485637665
'71 (2014),8,All Is Lost (2013),0.19972339272499084
'71 (2014),9,Fruitvale Station (2013),0.19947899878025055
'71 (2014),10,Animal Kingdom (2010),0.19587574899196625
'Hellboy': The Seeds of Creation (2004),1,"Sweeney, The (2012)",0.06429250538349152
'Hellboy': The Seeds of Creation (2004),2,Everly (2014),0.06052401289343834
'Hellboy': The Seeds of Creation (2004),3,'Salem's Lot (2004),0.054763954132795334
